colorIdentity,types,convertedManaCost,rarity,flavorText,sentiment,intensity
Green,Creature,5.0,common,""" . . . And the third little boar built his house out of rootwalla plates . . . .""",0.0,0.0
Black,Creature,1.0,common,""" . . . Cao Pi, Cao Rui, Fang, Mao, and briefly, Huan—  The Sima took the empire in their turn. . . .""",0.0,0.0
Blue,Creature,5.0,uncommon,""" . . . When the trees bow down their heads, The wind is passing by.""",0.0,0.0
White,Creature,4.0,uncommon,""" . . . and you must also apply for an application license, file documents 136(iv) and 22-C and -D in triplicate, pay all requisite fees, request a . . .""",-0.1027,0.1027
Green,Creature,4.0,common,"""'Air superiority?' Not while our archers scan the skies.""",0.0,0.0
Black,Enchantment,2.0,rare,"""'Davvol, blast those elves.' 'Davvol, transport those troops.' No one cares that today is my birthday.""",0.2023,0.2023
White,Creature,3.0,common,"""'Do you know, I always thought Unicorns were fabulous monsters, too? I never saw one alive before!' 'Well, now that we have seen each other,' said the Unicorn, 'if you'll believe in me, I'll believe in you.'""",0.3628,0.3628
Blue,Creature,2.0,common,"""'Fraid of heights? Ride a horse. 'Fraid of missing out? Rein up a drake.""",-0.3736,0.3736
Black,Instant,1.0,common,"""'Here lies our beloved Gartu, the gentlest of all men.' Ooh, I love irony.""",0.8176,0.8176
Green,Creature,4.0,uncommon,"""'I have arrived,' bellowed Brawn, and the plane shuddered.""",0.0,0.0
Green,Creature,5.0,common,"""'I'll show you how to handle the treefolk!' the giant bragged, and he strode off into the forest. Two days later he returned, his face masked in sap and a nest behind his ear. None dared ask who won.""",0.0,0.0
Blue,Sorcery,5.0,uncommon,"""'I'm certain that the fate of Markov Manor is connected to these cryptoliths . . .' This Tamiyo was on to something.""",0.2732,0.2732
Green,Creature,4.0,common,"""'I've seen hornworms big as a man's fist,' the traveler said, and nodded soberly when our jaws went slack at his ignorance.""",0.0,0.0
White,Sorcery,1.0,uncommon,"""'Invincible' is just a word.""",0.0,0.0
White,Sorcery,4.0,rare,"""'O miserable of happy! Is this the end Of this new glorious world . . . ?'""",0.7177,0.7177
White,Sorcery,4.0,rare,"""'O miserable of happy! Is this the end Of this new glorious world... ?'""",0.7177,0.7177
Blue,Sorcery,5.0,rare,"""'Ownership' is such a gray area.""",0.0,0.0
Blue,Instant,1.0,common,"""'That was a narrow escape!' said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence.""",0.6938,0.6938
Blue,Creature,4.0,rare,"""'Tis a shame, in such a tempest, to have but one anchor.""",-0.2617,0.2617
Red,Land,0.0,uncommon,"""'Tis distance lends enchantment to the view, And robes the mountain in its azure hue.""",0.0,0.0
Black,Creature,5.0,uncommon,"""'Tis now the very witching time of night, When churchyards yawn and hell itself breathes out Contagion to this world.""",-0.8225,0.8225
Red,Sorcery,1.0,rare,"""'Tis the set of sails, and not the gales, Which tell us the way to go.""",0.0,0.0
Red,Sorcery,1.0,uncommon,"""'Tis the set of sails, and not the gales, Which tells us the way to go.""",0.0,0.0
Blue,Sorcery,2.0,common,"""'Twas when the seas were roaring With hollow blasts of wind . . . .""",0.0,0.0
Red,Sorcery,4.0,common,"""'Utterly' is my favorite way to destroy something.""",-0.128,0.128
Black,Creature,4.0,rare,"""'War is no picnic,' my father liked to say. But the Ants seemed to disagree.""",0.0772,0.0772
Blue,Creature,2.0,rare,"""'We have no legs,' the warrior spat, 'for we have finished running.'""",-0.296,0.296
Green,Creature,4.0,uncommon,""". . . 'First take Jingzhou, next the Riverlands;  On that rich region, base your own royal stand.' . . .""",0.5574,0.5574
White,Creature,2.0,common,""". . . Before honor is humility.""",0.4939,0.4939
Blue,Instant,1.0,common,""". . . But I'm not tired!""",0.0,0.0
Green,Creature,2.0,common,""". . . But the time of Han had run—could he Kongming not tell?—  That night his master star fell past the hills. . . .""",0.0,0.0
Green,Creature,2.0,common,""". . . By six offensives from the hills of Qi Kongming sought to change Han's destiny. . . .""",-0.2023,0.2023
Green,Creature,4.0,uncommon,""". . . Cao's abdication changed the face of all;  No mighty battles marked the Southland's fall. . . .""",-0.5859,0.5859
Blue,Enchantment,2.0,common,""". . . Dry-walkers die We feed on sweet flesh . . . .""",-0.2263,0.2263
White,Creature,3.0,rare,""". . . It was Pang Tong's boat-connecting scheme That let Zhou Yu accomplish his great deed.""",0.7845,0.7845
Red,Creature,3.0,common,""". . . Jiang Wei alone still strove with might and main:  Nine times more he fought the north—in vain. . . .""",-0.749,0.749
Red,Creature,1.0,common,""". . . Near death in Baidi, having reigned three years,  Bei sadly placed his son in Kongming's care. . . .""",-0.5423,0.5423
White,Enchantment,4.0,uncommon,""". . . Our castle's strength Will laugh a siege to scorn.""",0.7783,0.7783
Black,Creature,3.0,common,""". . . The ghost rides forth to the scene of battle in nightly quest of his head . . . he sometimes passes along the Hollow, like a midnight blast . . .""",-0.34,0.34
Red,Creature,9.0,rare,""". . . The kingdoms three are now the stuff of dream,  For men to ponder, past all praise or blame.""",0.6808,0.6808
Green,Creature,1.0,common,""". . . The world's affairs rush on, an endless stream;  A sky-told fate, infinite in reach, dooms all. . . .""",-0.25,0.25
Green,Creature,4.0,uncommon,""". . . Three kings no more—Chenliu, Guiming, Anle.  The fiefs and posts must now be filled anew. . . .""",-0.296,0.296
Black,Creature,4.0,uncommon,""". . . Zhong Hui and Deng Ai next led armies west:  And to the Cao, Han's hills and streams now passed. . . .""",0.0,0.0
Blue,Enchantment,3.0,common,""". . . [A]nd gives to airy nothing A local habitation and a name.""",0.0,0.0
Black,Creature,6.0,rare,""". . . [S]creams of horror rend th' affrighted skies.""",-0.5719,0.5719
Green,Creature,2.0,common,""". . . and I will bring the fury of the wild back to my village.""",-0.5719,0.5719
Green,Creature,4.0,uncommon,""". . . and embrace the ancient ferocity of the undying Wild.""",0.1531,0.1531
Black,Creature,3.0,common,""". . . and for that I shall be eternally grateful.""",0.0,0.0
Blue,Sorcery,1.0,uncommon,""". . . and the waters were a wall unto them on their right hand, and on their left.""",0.4939,0.4939
Green,Sorcery,3.0,uncommon,""". . . and when the farmer awoke the next morning, all the seeds from his field were once again in their sacks.""",0.0,0.0
Green,Creature,4.0,uncommon,""". . . because to be honest, I couldn't tell you.""",0.5106,0.5106
White,Creature,2.0,uncommon,""". . . but until this morning, I'd never seen them be of one body.""",0.0,0.0
Red,Creature,4.0,uncommon,""". . . heck, I'd settle for anything that even resembled a werewolf.""",0.0,0.0
Blue,Sorcery,3.0,common,""". . . inviting the soul to wander for a spell in abysses of solitude . . . .""",0.3182,0.3182
Blue,Creature,3.0,uncommon,""". . . it's that the lure of the sea is impossible to ignore.""",0.0,0.0
Blue,Creature,4.0,rare,""". . . pirates gambled with a djinn and lost the thing more dear than gold.""",0.1513,0.1513
White,Sorcery,5.0,rare,"""... Is it over?""",0.0,0.0
Black,Creature,3.0,uncommon,"""...There was no trace Of aught on that illumined face...""",-0.296,0.296
Black,Creature,3.0,uncommon,"""...There was no trace Of aught on that illumined face....""",-0.296,0.296
White,Creature,2.0,rare,"""...and now they're trying to make a brick wall on my property fight a dinosaur to the death.""",-0.3818,0.3818
Red,Creature,3.0,uncommon,"""487. You're welcome.""",0.0,0.0
Black,Enchantment,3.0,uncommon,"""A basilisk's gaze is effective, but disposing of physical remains is a tiresome task. It's far more discreet to dissolve one's victim entirely.""",-0.1531,0.1531
Black,Enchantment,3.0,common,"""A basilisk's gaze is effective, but disposing of physical remains is a tiresome task. It's far more discrete to dissolve one's victim entirely.""",-0.1531,0.1531
White,Instant,2.0,rare,"""A battle's outcome is never certain.""",0.0,0.0
Blue,Creature,4.0,rare,"""A beauty made more so by its fleeting visitations.""",0.5859,0.5859
Blue,Creature,4.0,uncommon,"""A better Ravnica begins with a better Simic.""",0.7003,0.7003
Green,Creature,4.0,common,"""A blade is not fully forged until it is given.""",0.0,0.0
Green,Creature,3.0,rare,"""A blessing is not a gift. It is a duty.""",0.2008,0.2008
Red,Creature,2.0,uncommon,"""A bolt to the eye, a blade to the neck. That's the way to clear the deck!""",0.4389,0.4389
White,Enchantment,2.0,common,"""A boon from the angels should never be cast aside.""",0.0,0.0
White,Instant,2.0,uncommon,"""A brilliant light can either illuminate or blind. How will you know which until you open your eyes?""",0.2732,0.2732
Red,Instant,3.0,common,"""A burst of hot air tossed the moon into the air, and the moon liked it up there so much it never needed the ground again.""",0.4215,0.4215
Red,Instant,2.0,common,"""A church is just wood and walls. A congregation is the faithful praising the angels.""",0.7506,0.7506
White,Creature,5.0,common,"""A company of infantry is trapped behind the lines. We need to strike hard and fast to free them, or the casualties will be horrific. Send the griffins.""",-0.7506,0.7506
Black,Creature,1.0,common,"""A creature's bloodscent is a beacon that cannot be disguised.""",0.0,0.0
Red,Creature,4.0,common,"""A cyclops thinks slowly but strikes quickly. Try to keep it thinking.""",-0.5023,0.5023
Blue,Enchantment,1.0,uncommon,"""A dash of cool water does wonders to clear a cluttered battlefield.""",0.5994,0.5994
Black,Instant,3.0,common,"""A debtor's soul has little value, except as a warning to others who might consider defaulting on their loans.""",-0.0754,0.0754
White,Instant,2.0,uncommon,"""A display of humility is required of those who still possess such frailties.""",0.0,0.0
White,Creature,4.0,uncommon,"""A double-edged sword lets you cut down your enemies with the backswing as well.""",-0.6486,0.6486
Blue,Creature,4.0,common,"""A failure is simply another opportunity for improvement. Just wait until you see what I come up with next.""",0.3612,0.3612
White,Creature,4.0,uncommon,"""A few arrows aren't enough to pierce your faith, soldier. You'll be back on the battlefield by sun's dawn.""",0.0516,0.0516
Red,Creature,4.0,common,"""A flash of the lightning, a break of the wave, He passes from life to his rest in the grave.""",0.0,0.0
Blue,Instant,1.0,common,"""A fool's fire is quickly quenched.""",-0.34,0.34
Red,Instant,1.0,common,"""A gargoyle's meat can be carved with an ordinary cleaver, but for its petrous hide . . .""",-0.2617,0.2617
Green,Creature,1.0,common,"""A good Tarpan will serve you, faithful and true. A bad one will kick you in the head.""",0.6249,0.6249
Black,Creature,4.0,common,"""A good day in Goldmeadow is one in which I don't spend all evening picking quills out of my backside.""",0.4404,0.4404
White,Instant,3.0,common,"""A good explorer has to be as slippery as a gomazoa, as tough as a scute bug, and luckier than a ten-fingered trapfinder.""",0.6486,0.6486
White,Creature,4.0,uncommon,"""A good guard is alert. A great guard is also loyal.""",0.8481,0.8481
Green,Creature,4.0,common,"""A good lagac will carry you through thick and thin. A bad one . . . well, it's a tasty dinner.""",0.128,0.128
Green,Creature,4.0,common,"""A good lagac will carry you through thick and thin. A bad one … well, it's a tasty dinner.""",0.128,0.128
Green,Creature,1.0,common,"""A good tarpan will serve you, faithful and true. A bad one will kick you in the head.""",0.6249,0.6249
Red,Sorcery,2.0,rare,"""A good whack on the head usually has the same effect.""",0.4404,0.4404
White,Creature,2.0,rare,"""A great warrior studies many different disciplines and takes the best from each.""",0.8519,0.8519
Blue,Instant,3.0,common,"""A great wave crashed, and a mighty wind blew out the stars.""",0.6249,0.6249
Green,Sorcery,1.0,uncommon,"""A grudge is a tattoo worn on the inside.""",-0.296,0.296
Red,Creature,4.0,uncommon,"""A hedron holds magic for a thousand years—or less, if need be.""",0.0,0.0
Green,Creature,5.0,uncommon,"""A herd is only as strong as its weakest. Our weakest just killed his third minotaur raider—today.""",-0.8316,0.8316
Blue,Creature,3.0,common,"""A horrible sight, yes, but the sounds . . . Its twanging tendons and grinding gears are almost musical.""",-0.1027,0.1027
Blue,Creature,3.0,uncommon,"""A jigsaw puzzle that lives, breeds, and thinks.""",0.0,0.0
Green,Instant,2.0,common,"""A keen eye and steady hand are essential for defeating most foes, including hunger.""",-0.0498,0.0498
White,Creature,6.0,rare,"""A keen mind wields an army as a deft hand wields a sword.""",0.6908,0.6908
White,Instant,3.0,common,"""A key weakness in the design is its vulnerability to repeated, forceful blows.""",-0.5719,0.5719
White,Creature,2.0,common,"""A kick from its hooves is like a bolt of lightning. I'd know. I've been hit by both.""",0.3612,0.3612
White,Creature,3.0,common,"""A life is measured by the lives it saves.""",0.0,0.0
Black,Instant,3.0,common,"""A little dark magic won't stop me. The worse the curse, the better the prize.""",-0.4238,0.4238
Green,Creature,6.0,common,"""A long and difficult incision revealed that all vital organs are housed in the head, save for a long chain of stomachs, forty in all, leading from its throat to the end of the tail.""",0.4404,0.4404
Blue,Creature,3.0,common,"""A mage must be precise as well as potent; cautious, as well as clever.""",0.4215,0.4215
Green,Creature,5.0,rare,"""A man, and such a fool! I, a woman, will fight them for you.""",-0.6996,0.6996
Red,Creature,5.0,mythic,"""A massacre? It is a mercy we grant them. This way they won't freeze to death.""",0.593,0.593
White,Enchantment,4.0,common,"""A master of hieromancy can see the advantage in any scenario.""",0.25,0.25
Green,Instant,1.0,uncommon,"""A might spell can be handy against baloths, giants, kraken, the Roil—or if you lose your bearings in the woods.""",-0.4019,0.4019
Black,Enchantment,4.0,rare,"""A mind in agony is a sparrow without wings.""",-0.4215,0.4215
Black,Sorcery,2.0,common,"""A mind may be steeled against madness, but all battlements fall in time.""",-0.3716,0.3716
Black,Creature,7.0,rare,"""A minion given over to Tevesh Szat is a stronger minion gained.""",0.3818,0.3818
Green,Creature,3.0,common,"""A mysterious people indeed. Their origins are as secret as their traditions.""",0.0,0.0
Green,Creature,3.0,common,"""A pangolin's power grows with its speed. Strike when you have the chance!""",-0.2003,0.2003
Green,Creature,2.0,common,"""A perfect fusion of nature and artifice.""",0.5719,0.5719
Green,Creature,2.0,uncommon,"""A perfect reflection of its world: brutal, fetal, and lacking truth.""",-0.1027,0.1027
White,Instant,2.0,common,"""A potion is no substitute for a skilled surgeon, but it will hold your bits in.""",-0.1531,0.1531
Blue,Instant,3.0,common,"""A problem is only a problem if you don't have the tools to correct it.""",-0.6597,0.6597
Red,Instant,2.0,uncommon,"""A quick step beyond oblivion lies a place so full of thoughts that it leaves no room for your own.""",-0.6124,0.6124
Red,Enchantment,1.0,rare,"""A rare and fascinating phenomenon.""",0.5423,0.5423
White,Sorcery,3.0,common,"""A relic donation is suggested.""",0.0,0.0
White,Creature,4.0,rare,"""A renegade rallying the rabble does not a true Crusader make.""",-0.3252,0.3252
Green,Enchantment,2.0,uncommon,"""A resourceful mage has many sources of information. The best one is your foe.""",0.6369,0.6369
Red,Creature,1.0,rare,"""A responsible king walks among his subjects.""",0.3182,0.3182
Green,Instant,2.0,uncommon,"""A ribbon torn will ward away dark dreams.""",-0.25,0.25
White,Instant,3.0,rare,"""A richer people could give more but they could never give as much.""",0.296,0.296
Blue,Creature,6.0,rare,"""A riddle is nothing more than a trap for small minds, baited with the promise of understanding.""",0.5374,0.5374
Red,Creature,6.0,uncommon,"""A rift opened, and our arrows were abruptly stilled. To move was to push the world. But the sliver's claw still twitched, red wounds appeared in Thed's chest, and ribbons of blood hung in the air.""",0.0,0.0
White,Creature,2.0,uncommon,"""A river of lava is just another river to cross.""",0.0,0.0
Blue,Enchantment,3.0,rare,"""A ruler wears a crown while the rest of us wear hats, but which would you rather have when it's raining?""",0.0,0.0
Green,Creature,1.0,common,"""A rumor passes among the snakes, whispered by the rushes, inspiring the seekers: the goddess Freyalise is alive in Skyshroud.""",0.6597,0.6597
White,Instant,2.0,uncommon,"""A sacrifice made in peace is worth a dozen made in panic.""",0.6597,0.6597
Black,Creature,4.0,common,"""A shrill creature that delights in the misery of others—what's not to love?""",-0.1779,0.1779
Black,Instant,2.0,common,"""A simple trap in a dark corner of the mind, and their nightmares catch up with them.""",-0.3182,0.3182
Black,Creature,2.0,uncommon,"""A single dedicated mind can bring about the greatest destruction. That, or goblins—goblins work too.""",0.5423,0.5423
Red,Creature,1.0,common,"""A single drop of blood draws their attention, then they strip your bones clean before you have time to die.""",0.1531,0.1531
White,Instant,2.0,common,"""A single grain of sand is insignificant, but a sandstorm can reduce pyramids to dust. Stand with your crop. Become the storm.""",-0.1779,0.1779
Red,Sorcery,4.0,rare,"""A single item acting as lantern and lance? Now that's military efficiency.""",0.0,0.0
Green,Sorcery,6.0,uncommon,"""A single tree does not a forest make. We are stronger when we stand together.""",0.3818,0.3818
White,Creature,2.0,common,"""A skilled decoy can throw your enemies off your trail. A master decoy can survive to do it again.""",-0.4939,0.4939
Green,Instant,2.0,uncommon,"""A slayer gets by on wits and reflexes.""",0.0,0.0
Red,Creature,2.0,rare,"""A small price to keep such pretty things safe.""",0.4939,0.4939
Black,Creature,3.0,rare,"""A splendid talent, admired of all men! His folly lay in serving Cao Cao's power.""",0.8805,0.8805
Green,Creature,6.0,common,"""A stunning example of the breed! Flawless plating, ruthlessly efficient death stroke, and an excellent drool shimmer.""",0.8313,0.8313
Blue,Sorcery,6.0,uncommon,"""A system to direct the flow of Ravnica's entire water supply? Thinking a bit small, aren't we?""",0.0,0.0
White,Creature,4.0,common,"""A tempest is coming. Turn your faces toward the wind!""",0.0,0.0
Black,Creature,4.0,uncommon,"""A thankless job, and a death sentence besides.""",-0.5574,0.5574
Black,Creature,4.0,common,"""A thick fog obscures the port of Leor, but it's not thick enough to muffle the screams.""",0.0,0.0
White,Instant,2.0,uncommon,"""A tiny flame is enough to dispel the night.""",0.0,0.0
Red,Sorcery,2.0,common,"""A touch of lightning, and anyone can be taught to dance.""",0.0,0.0
Green,Enchantment,2.0,uncommon,"""A touch of vine sap in the blood, and the flesh knits as quickly as new roots twining.""",0.0,0.0
Green,Creature,5.0,common,"""A trail of scrap metal can lead it into an ambush. But take care not to overfeed it.""",0.6486,0.6486
White,Creature,4.0,rare,"""A treasure to guard other treasures is worth the highest price.""",0.7096,0.7096
Green,Creature,5.0,common,"""A true Phyrexian predator. It will never know death, just as nature intended.""",0.7137,0.7137
Red,Creature,2.0,uncommon,"""A true warrior fights with whatever's handy.""",0.0258,0.0258
Blue,Creature,3.0,common,"""A vizier's dish, best served drenched in honey and almonds.""",0.6369,0.6369
Black,Creature,2.0,rare,"""A wanderer has told me of an assassin in the Takenuma Swamp who uses her dark arts to animate her enemies' shadows against them. A wild tale, but it explains much.""",-0.2732,0.2732
Blue,Enchantment,2.0,common,"""A warrior without wit is simply meat.""",0.0,0.0
Red,Creature,3.0,common,"""A well-made wrench is a versatile, indispensable tool.""",0.0,0.0
White,Creature,1.0,rare,"""A well-trained force brings peace... which brings more time for training!""",0.0,0.0
Green,Creature,3.0,uncommon,"""A werewolf's howl is terrifying, to be sure. But this . . . this was a chilling sound I somehow felt. I fear what will reply to it.""",-0.7311,0.7311
Black,Creature,4.0,uncommon,"""A whole life, full of memories and experience, love and sorrow, drained drop by drop into this bottle. Could any feast be more glorious?""",-0.5994,0.5994
Red,Creature,3.0,common,"""A whole skin is worth a thousand victories.""",0.2263,0.2263
Black,Creature,2.0,rare,"""A wisp of life remains in the undergloom of Death; a visible form, though no heart beats within it.""",-0.7269,0.7269
White,Instant,2.0,uncommon,"""A world without evil? Boring. Give me vile fiends to smite and banish any day.""",-0.3658,0.3658
Black,Creature,4.0,common,"""A zombie's bed must be a lumpy one or he wouldn't leave it so often.""",0.0382,0.0382
Red,Creature,2.0,common,"""AIIIEEEE!""",0.0,0.0
Blue,Creature,6.0,common,"""Abandon ship!""",-0.4926,0.4926
Blue,Creature,6.0,rare,"""About the sphinx, I have mixed feelings. Their wisdom I crave, but their secrecy I can't tolerate.""",0.296,0.296
Black,Creature,1.0,rare,"""About, about in reel and rout The death-fires danced at night; The water, like a witch's oils, Burnt green, and blue and white.""",0.3612,0.3612
Black,Creature,2.0,common,"""Above all, a well crafted Thrull should be hideous—blasted of countenance and twisted of limb—to inspire fear and revulsion.""",0.3818,0.3818
Blue,Creature,5.0,rare,"""Above the waves you may be mighty indeed, but down here you belong to me.""",0.0,0.0
White,Creature,4.0,uncommon,"""Above them all is Truth, and Truth must be set free. If the wings of Truth are clipped, the voices will fall silent.""",0.8481,0.8481
Red,Sorcery,1.0,common,"""According to accepted theory, the Grenade held some kind of flammable mixture and was carried to its target by a hapless Goblin.""",-0.0772,0.0772
Green,Creature,4.0,rare,"""Ach! Hans, run! It's the Lhurgoyf!""",0.0,0.0
Green,Creature,4.0,rare,"""Ach! Hans, run! It's the lhurgoyf!""",0.0,0.0
Red,Creature,5.0,uncommon,"""Across the land rebellions seethed and swarmed  As vicious war lords swooped down on all sides.""",-0.8176,0.8176
